subj_id,inclusion,block,trial,task,alpha,angle_sigma,orientation,stimulus,response,accuracy,response_time,confidence,increase_presses,decrease_presses,BOLD_rTPJ,BOLD_pMFC,BOLD_FPm,BOLD_FPl,BOLD_preSMA,BOLD_vmPFC
01LeEm,0,4,463,Discrimination,0.0477987293703271,6.5,-45,0,1,0,1.00018100000034,2,0,3,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,464,Discrimination,0.0477987293703271,6.5,45,1,1,1,1.00022880000051,4,1,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,465,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.716451600000255,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,466,Discrimination,0.0477987293703271,6.5,45,1,0,0,1.18299990000014,4,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,467,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.333758599999783,2,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,468,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.748619500000132,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,469,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.699442099999942,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,470,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.750077300000157,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,471,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.716681300000346,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,472,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.733779199999844,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,473,Discrimination,0.0477987293703271,6.5,45,1,1,1,1.08409219999976,5,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,474,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.650509099999908,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,475,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.716850200000408,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,476,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.384277400000428,5,1,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,477,Discrimination,0.0477987293703271,6.5,-45,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,478,Discrimination,0.0477987293703271,6.5,45,1,0,0,0.983173699999497,4,1,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,127,Detection,0,7.01486765864282,0.782878636135307,0,0,1,0.835405099999662,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,128,Detection,0.0726386855078125,7.01486765864282,0.377098776164206,1,1,1,0.900596499999665,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,129,Detection,0.0726386855078125,7.01486765864282,0.516187579777698,1,1,1,0.951080900000306,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,130,Detection,0,7.01486765864282,0.462546685061327,0,0,1,0.800284500000089,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,131,Detection,0,7.01486765864282,0.743911886128151,0,0,1,0.900526899999932,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,132,Detection,0,7.01486765864282,0.856396194189875,0,0,1,1.03350470000078,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,133,Detection,0.0726386855078125,7.01486765864282,0.0233243071056789,1,1,1,0.950301200000467,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,134,Detection,0,7.01486765864282,0.565113162195769,0,0,1,0.801577799999905,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,135,Detection,0.0726386855078125,7.01486765864282,0.0739446097819373,1,1,1,0.816574200000105,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,136,Detection,0.0726386855078125,7.01486765864282,1.44735856768882,1,1,1,0.917461600000024,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,137,Detection,0,7.01486765864282,0.254059207895726,0,0,1,0.800158299999566,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,138,Detection,0.0726386855078125,7.01486765864282,0.0501887924320417,1,1,1,0.816340600000331,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,1,139,Detection,0,7.01486765864282,-1.55135244285992,0,0,1,1.16653349999979,1,0,4,NaN,NaN,NaN,NaN,NaN,NaN
